ID,Player,Age,Variant,Numbered,Autograph,Relic,Grading Company,Grade,Number,Set,Comments,Loc,Photo?,Photo taken ?,Photo reference,Added to Collection?,Photo added to Collection?,Search term,Exclude from ebayCollectionUpdater
564,Phillip Lahm,,Base,,,,,,32,2010-11 Panini UEFA Champions League,,,,,,,,,
565,Franck Ribery,,Base,,,,,,33,2010-11 Panini UEFA Champions League,,,,,,,,,
566,Mark Van Bommel,,Base,,,,,,34,2010-11 Panini UEFA Champions League,,,,,,,,,
567,Bastian Schweinsteiger,,Base,,,,,,35,2010-11 Panini UEFA Champions League,,,,,,,,,
568,Mario Gomez,,Base,,,,,,36,2010-11 Panini UEFA Champions League,,,,,,,,,
569,Arjen Robben,,Base,,,,,,37,2010-11 Panini UEFA Champions League,,,,,,,,,
570,Thomas Muller,,Base,,,,,,38,2010-11 Panini UEFA Champions League,,,,,,,,,
571,Martin Odegaard,24,Purple,/99,,,,,200,2021-22 Panini Prizm Premier League,,B1,Y,Y,7,Y,Y,Martin Odegaard #200 Purple /99 2021-22 Panini Prizm Premier League,
572,Kylian Mbappe,,Base,,,,SGC,9,51,2020 Panini Select UEFA Euro,,A,Y,Y,67,Y,Y,Kylian Mbappe #51 SGC 9 2020 Panini Select UEFA Euro,
573,Thomas,,Base,,,,,,ATL9,2020-21 Topps Match Attax Champions League,,,,,,,,,
574,Amadou Haidara,,Base,,,,,,RBL18,2020-21 Topps Match Attax Champions League,,,,,,,,,
575,Seibe Schrijvers,,Base,,,,,,BRU8,2020-21 Topps Match Attax Champions League,,,,,,,,,
576,Scott Brown,,Club Hero,,,,,,CEL2,2020-21 Topps Match Attax Champions League,,,,,,,,,
577,Alex Oxlade-Chamberlain,,Base,,,,,,LIV14,2020-21 Topps Match Attax Champions League,,,,,,,,,
578,Davinson Sanchez,,Base,,,,,,TOT4,2020-21 Topps Match Attax Champions League,,,,,,,,,
579,Angel Di Maria,,Base,,,,,,PSG14,2020-21 Topps Match Attax Champions League,,,,,,,,,
580,Marc-Andre Ter Stegen,,Base,,,,,,BAR4,2020-21 Topps Match Attax Champions League,,,,,,,,,
581,Vfl Borussia Mochengladbach,,Base,,,,,,BMG1,2020-21 Topps Match Attax Champions League,,,,,,,,,
582,Harry Maguire,,Base,,,,,,MNU9,2020-21 Topps Match Attax Champions League,,,,,,,,,
583,Agent Card,,Base,,,,,,T1,2020-21 Topps Match Attax Champions League,,,,,,,,,
584,Aymeric Laporte,,Base,,,,,,MCI8,2020-21 Topps Match Attax Champions League,,,,,,,,,
585,Joshua Kimmich,,Base,,,,,,BAY9,2020-21 Topps Match Attax Champions League,,,,,,,,,
586,Ryan Jack,,Base,,,,,,RNG10,2020-21 Topps Match Attax Champions League,,,,,,,,,
587,Alsion Becker,,Base,,,,,,LIV4,2020-21 Topps Match Attax Champions League,,,,,,,,,
588,MagomedOzdoev,,Base,,,,,,ZEN2,2020-21 Topps Match Attax Champions League,,,,,,,,,
589,Brandon Williams,,Base,,,,,,MNU8,2020-21 Topps Match Attax Champions League,,,,,,,,,
590,Lukas Klostermann,,Base,,,,,,RBL11,2020-21 Topps Match Attax Champions League,,,,,,,,,
591,Raphael Varane,,Base,,,,,,REA6,2020-21 Topps Match Attax Champions League,,,,,,,,,
592,Hector Herrera,,All-Rounder,,,,,,ATL3,2020-21 Topps Match Attax Champions League,,,,,,,,,
593,Heung-Min Son,,Base,,,,,,TOT15,2020-21 Topps Match Attax Champions League,,,,,,,,,
594,Denis Praet,,Base,,,,,,LEI13,2020-21 Topps Match Attax Champions League,,,,,,,,,
595,Ianis Hagi,,Base,,,,,,RNG11,2020-21 Topps Match Attax Champions League,,,,,,,,,
596,Denis Zakaria,,Base,,,,,,BMG7,2020-21 Topps Match Attax Champions League,,,,,,,,,
597,Ruben Dias,,Base,,,,,,BEN5,2020-21 Topps Match Attax Champions League,,,,,,,,,
598,Leon Goretzka,,All-Rounder,,,,,,BAY3,2020-21 Topps Match Attax Champions League,,,,,,,,,
599,Rodrygo,,Rising Star,,,,,,RS2,2020-21 Topps Match Attax Champions League,,,,,,,,,
600,Colin Dagba,,Rising Star,,,,,,RS12,2020-21 Topps Match Attax Champions League,,,,,,,,,
601,Laszio Benes,,Rising Star,,,,,,RS13,2020-21 Topps Match Attax Champions League,,,,,,,,,
602,Eden Visca,,Star Player,,,,,,SP16,2020-21 Topps Match Attax Champions League,,,,,,,,,
603,Mohamed Salah,,Star Player,,,,,,SP5,2020-21 Topps Match Attax Champions League,,,,,,,,,
604,Sadio Mane,,Man of the Match,,,,,,MM7,2020-21 Topps Match Attax Champions League,,,,,,,,,
605,Gael Clichy,,Man of the Match,,,,,,MM27,2020-21 Topps Match Attax Champions League,,,,,,,,,
606,Kasper Schmeichel,,Man of the Match,,,,,,MM8,2020-21 Topps Match Attax Champions League,,,,,,,,,
607,Erling Haaland,23,Base,,,,,,DOR18,2020-21 Topps Match Attax Champions League,,A7,N,,,Y,,Erling Haaland #DOR18 2020-21 Topps Match Attax Champions League,
608,Marash Kumbulla,,XR Orange,,,,,,XR-7,2019-20 Panini Chronicles Soccer,,,,,,,,,
609,Jamie Vardy,,Superstar Sensations,,,,,,SS-JV,2018-19 Topps Chrome,,,,,,,,,
610,Timothy Castagne,,XR Gold,,,,,,XR-1,2019-20 Panini Chronicles Soccer,,,,,,,,,
611,Zan Majer,,Base,,,,,,255,2019-20 Panini Chronicles Soccer,,,,,,,,,
612,Richarlson,,Red Cracked Ice,,,,,,120,2020-21 Panini Prizm Premier League,,,,,,,,,
613,Andrea Pirlo,,Stars of the Midfield,,,,,,6,2016 Panini Prizm Euro Soccer,,,,,,,,,
614,Jules Kounde,25,Pitch Kings,,,,,,R2-2,2019-20 Panini Chronicles Soccer,,A5,N,,,Y,,Jules Kounde #R2-2 Pitch Kings 2019-20 Panini Chronicles Soccer,
615,Matthijs De Ligt,,Optic Rated Rookie,,,,,,195,2018-19 Panini Donruss Soccer,,,,,,,,,
616,Emmanuel Adebayor,39,Base,,,,,,179,2006 Panini World Cup Soccer,,A7,N,,,Y,,Emmanuel Adebayor #179 2006 Panini World Cup Soccer,
617,Rafael Marquez,44,Base,,,,,,141,2006 Panini World Cup Soccer,,A7,N,,,Y,,Rafael Marquez #141 2006 Panini World Cup Soccer,
618,Fredrik Ljungberg,46,Base,,,,,,175,2006 Panini World Cup Soccer,,A7,N,,,Y,,Fredrik Ljungberg #175 2006 Panini World Cup Soccer,
619,Mauro German Camoranesi,47,Base,,,,,,124,2006 Panini World Cup Soccer,,A7,N,,,Y,,Mauro German Camoranesi #124 2006 Panini World Cup Soccer,
620,Patrick Vieira,47,Base,,,,,,105,2006 Panini World Cup Soccer,,A6,N,,,Y,,Patrick Vieira #105 2006 Panini World Cup Soccer,
621,Patrick Vieira,47,Base,,,,,,54,2002 FIFA World Cup Japan,,A1,N,,,Y,,Patrick Vieira #54 2002 FIFA World Cup Japan,
622,Roberto Baggio,56,Base,,,,,,70,2002 FIFA World Cup Japan,,B3,N,,,Y,,Roberto Baggio #70 2002 FIFA World Cup Japan,
623,Raheem Sterling,,Base,,,,,,66,2015-16 Topps Premier Club,,,,,,,,,
624,Lionel Messi,36,Historic Ticket,,,,,,HTLM,2019-20 Panini Chronicles Soccer,,A6,N,,,Y,,Lionel Messi #HTLM Historic Ticket 2019-20 Panini Chronicles Soccer,
625,Kylian Mbappe,24,Purple Name Plate,,,,,,51,2020 Panini Select UEFA Euro,,A6,N,,,Y,,Kylian Mbappe #51 Purple Name Plate 2020 Panini Select UEFA Euro,
626,Steven Alzate,,Emergent,,,,,,12,2019-20 Panini Prizm Premier League,,,,,,,,,
627,Renato Sanches,,On The Rise,,,,,,OTR-21,2016-17 Panini Revolution Soccer,,,,,,,,,
628,Frenkie De Jong,26,Base,,,,,,91,2020 Panini Select UEFA Euro,,A6,N,,,Y,,Frenkie De Jong #91 2020 Panini Select UEFA Euro,
629,Hakim Ziyech,,"Red, White & Blue Plaid",,,,,,220,2020-21 Panini Prizm Premier League,,,,,,,,,
630,Sergej Milinkovic-Savic,,Pitch Kings,,,,,,PK-10,2019-20 Panini Chronicles Soccer,,,,,,,,,
631,Oskar Buur,,"Red, White & Blue Plaid",,,,,,137,2020 Panini Select UEFA Euro,,,,,,,,,
632,Unai Simon,,Base Panini La Liga,,,,,,393,2019-20 Panini Chronicles Soccer,,,,,,,,,
633,Luis Enrique,,Lighnting Strike,/20,,,,,LS-LE,2020-21 Panini Obsidian Soccer,,,,,,,,,
634,Kylian Mbappe,24,Base,,,,,,209,2018 Panini World Cup Stickers,,A4,N,,,Y,,Kylian Mbappe #209 2018 Panini World Cup Stickers,
635,Emil Audero,,Prestige Serie A,,,,,,276,2019-20 Panini Chronicles Soccer,,,,,,,,,
636,Sadio Mane,31,Base,,,,,,96,2014-15 Topps Premier Club,,A7,N,,,Y,,Sadio Mane #96 2014-15 Topps Premier Club,
637,Ilkay Gundogan,,Magicians,,,,,,M-6,2018-19 Panini Donruss Soccer,,,,,,,,,
638,Manuel Neuer,,Multi Color,,,,,,181,2016-17 Panini Select Soccer,,,,,,,,,
639,Gonzalo Escalante,,Base Panini La Liga,,,,,,432,2019-20 Panini Chronicles Soccer,,,,,,,,,
640,Xerdan Shaqiri/Eren Derdiyok,,Connections,,,,,,C-19,2018 Panini Prizm World Cup,,,,,,,,,
641,Michael Ballack,47,Base,,,,,,80,2006 Panini World Cup Soccer,,A7,N,,,Y,,Michael Ballack #80 2006 Panini World Cup Soccer,
642,Richarlison,,Optic,,,,,,106,2018-19 Panini Donruss Soccer,,,,,,,,,
643,Kieran Tierney,,Base,,,,,,34,2020-21 Panini Prizm Premier League,,,,,,,,,
644,Vinicius Junior,,Base,,,,,,33,2020-21 Topps Chrome UEFA Champions League,,,,,,,,,
645,Bastian Schweinsteiger,39,Base,,,,,,79,2006 Panini World Cup Soccer,,A7,N,,,Y,,Bastian Schweinsteiger #79 2006 Panini World Cup Soccer,
646,Sir Alex Ferguson,,Base,,,,,,75,2002 Upper Deck Manchester United Premier Power,,,,,,,,,
647,Italia Team Card,#N/A,Base,,,,,,21,2006 Panini World Cup Soccer,,A6,N,,,Y,,Italia Team Card #21 2006 Panini World Cup Soccer,
648,Frenkie De Jong,26,Orange Variant,,,,,,91,2020 Panini Select UEFA Euro,,A6,N,,,Y,,Frenkie De Jong #91 Orange Variant 2020 Panini Select UEFA Euro,
649,Erling Haaland,23,100 Club,,,,,,CL10,2020-21 Topps Match Attax Champions League,,A7,N,,,Y,,Erling Haaland #CL10 100 Club 2020-21 Topps Match Attax Champions League,
650,Frank Lampard,45,Base,,,,,,94,2006 Panini World Cup Soccer,,A7,N,,,Y,,Frank Lampard #94 2006 Panini World Cup Soccer,
651,Mark Viduka,48,Base,,,,,,51,2006 Panini World Cup Soccer,,A6,N,,,Y,,Mark Viduka #51 2006 Panini World Cup Soccer,
652,Gary Neville,48,Base,,,,,,88,2006 Panini World Cup Soccer,,A6,N,,,Y,,Gary Neville #88 2006 Panini World Cup Soccer,
653,Declan Rice,24,Cracked Ice,/23,,,,,188,2020-21 Panini Prizm Premier League,,A8,Y,Y,8,Y,Y,Declan Rice #188 Cracked Ice /23 2020-21 Panini Prizm Premier League,
654,Kylian Mbappe,24,Base,,,,,,51,2020 Panini Select UEFA Euro,,A6,N,,,Y,,Kylian Mbappe #51 2020 Panini Select UEFA Euro,
655,Xavi,43,Base,,,,,,65,2003-04 Panini La Liga Megacracks,,B3,N,,,Y,,Xavi #65 2003-04 Panini La Liga Megacracks,
656,Carles Puyol,45,Base,,,,,,58,2003-04 Panini La Liga Megacracks,,B3,N,,,Y,,Carles Puyol #58 2003-04 Panini La Liga Megacracks,
657,Ronaldinho,43,Base,,,,,,449,2003-04 Panini La Liga Megacracks,,B3,N,,,Y,,Ronaldinho #449 2003-04 Panini La Liga Megacracks,
658,Kylian Mbappe,24,Base,,,,,,132,2018-19 Panini Donruss Soccer,,A5,N,,,Y,,Kylian Mbappe #132 2018-19 Panini Donruss Soccer,
659,Kylian Mbappe,24,Base,,,,,,53,2018-19 Panini Donruss Soccer,,A5,N,,,Y,,Kylian Mbappe #53 2018-19 Panini Donruss Soccer,
660,George Weah,57,Base,,,,,,123,1998 Panini Calcio Serie A,,B3,N,,,Y,,George Weah #123 1998 Panini Calcio Serie A,
661,Francesco Totti,47,Base,,,,,,103,1998 Panini Calcio Serie A,,B3,N,,,Y,,Francesco Totti #103 1998 Panini Calcio Serie A,
662,Ronaldo,47,Base,,,,,,101,1998 Panini Calcio Serie A,,B3,N,,,Y,,Ronaldo #101 1998 Panini Calcio Serie A,
663,Sergio Ramos,37,Base,,,,,,46,2008 Panini UEFA Euro,,A2,N,,,Y,,Sergio Ramos #46 2008 Panini UEFA Euro,
664,Phillip Lahm,,Base,,,,,,75,2010 Panini Premium World Cup,,,,,,,,,
665,Bastian Schweinsteiger,,Base,,,,,,77,2010 Panini Premium World Cup,,,,,,,,,
666,Carlos Vela,34,Base,,,,,,142,2010 Panini Premium World Cup,,A7,N,,,Y,,Carlos Vela #142 2010 Panini Premium World Cup,
667,Mario Balotelli,33,Base,,,,,,130,2010 Panini Premium World Cup,,A7,N,,,Y,,Mario Balotelli #130 2010 Panini Premium World Cup,
668,Memphis Depay,,Base,,,,,,92,2020 Panini Select UEFA Euro,,,,,,,,,
669,Memphis Depay,,"Red, White & Blue Plaid",,,,,,92,2020 Panini Select UEFA Euro,,,,,,,,,
670,Sofyan Amrabat,,Prestige Serie A,,,,,,234,2019-20 Panini Chronicles Soccer,,,,,,,,,
671,Diego Milito,,Elite Series,,,,,,E-23,2019-20 Panini Chronicles Soccer,,,,,,,,,
672,Paul Pogba,30,Historic Ticket,,,,,,HT-PP,2019-20 Panini Chronicles Soccer,,A6,Y,,,Y,,Paul Pogba #HT-PP Historic Ticket 2019-20 Panini Chronicles Soccer,
673,Donny Van De Beek,,Base,,,,,,6,2020-21 Panini Chronicles Soccer,,,,,,,,,
674,Jose Campana,,Purple Astro,,,,,,15,2020-21 Panini Chronicles Soccer,,,,,,,,,
675,Alben Ekdal,,Purple Astro,,,,,,26,2020-21 Panini Chronicles Soccer,,,,,,,,,
676,Alben Ekdal,,Base,,,,,,26,2020-21 Panini Chronicles Soccer,,,,,,,,,
677,Eric Garcia,,Rated Rookie Purple Mojo,,,,,,3,2020-21 Panini Chronicles Soccer,,,,,,,,,
678,David Ferreiro,,Blue Astro,/16,,,,,22,2020-21 Panini Chronicles Soccer,,,,,,,,,
679,Giovani Lo Celso,,Purple Astro,,,,,,18,2020-21 Panini Chronicles Soccer,,,,,,,,,
680,Harry Maguire,,Gold Lasers,,,,,,19,2020-21 Panini Chronicles Soccer,,,,,,,,,
681,Simy Nwankwo,,Purple Mojo,,,,,,16,2020-21 Panini Chronicles Soccer,,,,,,,,,
682,Julian Chabot,,Base,,,,,,9,2020-21 Panini Chronicles Soccer,,,,,,,,,
683,Ignacio Pussetto,,Gold Lasers,,,,,,28,2020-21 Panini Chronicles Soccer,,,,,,,,,
684,Fidel,,Base,,,,,,6,2020-21 Panini Chronicles Soccer,,,,,,,,,
685,Portu,,Base,,,,,,2,2020-21 Panini Chronicles Soccer,,,,,,,,,
686,Jack Grealish,,"Red, White & Blue Plaid",,,,,,279,2020-21 Panini Prizm Premier League,,,,,,,,,
687,Oliver Norwood,,Base,,,,,,294,2019-20 Panini Prizm Premier League,,,,,,,,,
688,Heung-Min Son,,Base,,,,,,35,2020-21 Topps Match Attax Champions League,,,,,,,,,
689,James Ward-Prowse,,Superstar Sensations,,,,,,SS-JWP,2018-19 Topps Chrome Premier League,,,,,,,,,
690,Manuel Locatelli,25,Prestige Serie A,/99,,,,,300,2019-20 Panini Chronicles Soccer,,A5,N,,,Y,,Manuel Locatelli #300 Prestige Serie A /99 2019-20 Panini Chronicles Soccer,
691,Kevin De Bruyne,,Lazer,,,,,,17,2018 Panini Prizm World Cup,,,,,,,,,
692,Neymar Jr,31,Purple Refractor,/250,,,,,16,2020-21 Topps Chrome UEFA Champions League,,B1,N,,,Y,,Neymar Jr #16 Purple Refractor /250 2020-21 Topps Chrome UEFA Champions League,
693,Danilo Pereira,,Base,,,,,,80,2020-21 Topps Chrome UEFA Champions League,,,,,,,,,
694,Neymar Jr,,Base,,,,,,16,2020-21 Topps Chrome UEFA Champions League,,,,,,,,,
695,Aleksander Isak,,Base,,,,,,174,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
696,Ryan Gravenberch,,Base,,,,,,148,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
697,Emmanuel Gyasi,,Mosaic Purple,/49,,,,,68,2020-21 Panini Mosaic Serie A,,,,,,,,,
698,Maxime Lopez,,Mosaic Blue,/99,,,,,96,2020-21 Panini Mosaic Serie A,,,,,,,,,
699,Mario Fernandes,,Mosaic Purple,/49,,,,,77,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
700,Lucas Boye,,Rookie Ticket,,,,,,10,2020-21 Panini Chronicles Soccer,,,,,,,,,
701,Kenneth Taylor,21,Refractor,,,,,,71,2020-21 Topps Merlin Chrome UEFA Champions League,,A5,N,,,Y,,Kenneth Taylor #71 Refractor 2020-21 Topps Merlin Chrome UEFA Champions League,
702,Antony,23,Base,,,,,,45,2020-21 Topps Merlin Chrome UEFA Champions League,,A5,N,,,Y,,Antony #45 2020-21 Topps Merlin Chrome UEFA Champions League,
703,Lassina Traore,,Base,,,,,,10,2020-21 Topps Merlin Chrome UEFA Champions League,,,,,,,,,
704,Kenneth Taylor,,Base,,,,,,71,2020-21 Topps Merlin Chrome UEFA Champions League,,,,,,,,,
705,Jurrien Timber,,Base,,,,,,9,2020-21 Topps Merlin Chrome UEFA Champions League,,,,,,,,,
706,Lassina Traore,,Base,,,,,,10,2020-21 Topps Merlin Chrome UEFA Champions League,,,,,,,,,
707,Bukayo Saka,22,Purple Mojo,,,,,,11,2020-21 Prizm Premier League,,A6,N,,,Y,,Bukayo Saka #11 Purple Mojo 2020-21 Prizm Premier League,
708,Raul Guti,,Purple Astro,,,,,,2,2020-21 Panini Chronicles Soccer,,,,,,,,,
709,Igor Zubeldia,,Base,,,,,,8,2020-21 Panini Chronicles Soccer,,,,,,,,,
710,Gaetano Castrovilli,,Base,,,,,,24,2020-21 Panini Chronicles Soccer,,,,,,,,,
711,Jota Peleteiro,,Base,,,,,,26,2020-21 Panini Chronicles Soccer,,,,,,,,,
712,Edgar Mendez,,Base,,,,,,11,2020-21 Panini Chronicles Soccer,,,,,,,,,
713,Ruben Loftus-Cheek,,Purple Astro,,,,,,12,2020-21 Panini Chronicles Soccer,,,,,,,,,
714,Anwar El Ghazi,,Base,,,,,,3,2020-21 Panini Chronicles Soccer,,,,,,,,,
715,Aitor Fernandez,,Purple Astro,,,,,,16,2020-21 Panini Chronicles Soccer,,,,,,,,,
716,Tommaso Augello,,Base,,,,,,27,2020-21 Panini Chronicles Soccer,,,,,,,,,
717,Rodrigo Moreno,,Purple Astro,,,,,,6,2020-21 Panini Chronicles Soccer,,,,,,,,,
718,Tommaso Augello,,Purple Astro,,,,,,27,2020-21 Panini Chronicles Soccer,,,,,,,,,
719,Manuel Locatelli,,Base,,,,,,30,2019-20 Panini Chronicles Soccer,,,,,,,,,
720,Sam Johnstone,,Base,,,,,,21,2020-21 Panini Chronicles Soccer,,,,,,,,,
721,Duvan Zapata,,Purple Astro,,,,,,21,2020-21 Panini Chronicles Soccer,,,,,,,,,
722,Pierre-Emerick Aubameyang,,Base,,,,,,43,2020-21 Panini Prizm Premier League,,,,,,,,,
723,Bukayo Saka,22,Base,,,,,,40,2020-21 Panini Prizm Premier League,,A8,N,,,Y,,Bukayo Saka #40 2020-21 Panini Prizm Premier League,
724,Alexandre Lacazette,,Base,,,,,,45,2020-21 Panini Prizm Premier League,,,,,,,,,
725,Willian,,Base,,,,,,41,2020-21 Panini Prizm Premier League,,,,,,,,,
726,Eddie Nketiah,24,Base,,,,,,44,2020-21 Panini Prizm Premier League,,A1,N,,,Y,,Eddie Nketiah #44 2020-21 Panini Prizm Premier League,
727,Nicolas Pepe,,Base,,,,,,42,2020-21 Panini Prizm Premier League,,,,,,,,,
728,Kai Havertz,,Base,,,,,,125,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
729,Ridle Baku,,Base,,,,,,122,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
730,Leon Goretzka,,Base,,,,,,121,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
731,Joshua Kimmich,,Base,,,,,,123,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
732,Ridle Baku,,Base,,,,,,122,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
733,Timo Werner,,Base,,,,,,124,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
734,Nico Schulz,,Base,,,,,,127,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
735,Julian Brandt,,Base,,,,,,128,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
736,Jonathan Tah,,Base,,,,,,129,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
737,Julian Brandt,,Base,,,,,,128,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
738,Kai Havertz,,Base,,,,,,125,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
739,Nico Schulz,,Base,,,,,,127,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
740,Jonathan Tah,,Base,,,,,,129,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
741,Joshua Kimmich,,Base,,,,,,123,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
742,Timo Werner,,Base,,,,,,124,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
743,Robin Koch,,Base,,,,,,130,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
744,Toni Kroos,,Base,,,,,,126,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
745,Joshua Kimmich,,Base,,,,,,123,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
746,Toni Kroos,,Base,,,,,,126,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
747,Kai Havertz,,Silver Mosaic,,,,,,125,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
748,Granit Xhaka,,International Men of Mastery,,,,,,21,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
749,Breel Embolo,,Base,,,,,,183,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
750,Nico Elvedi,,Base,,,,,,185,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
751,Remo Freuler,,Base,,,,,,184,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
752,Kevin Mbabu,,Base,,,,,,181,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
753,Breel Embolo,,Base,,,,,,183,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
754,Kevin Mbabu,,Base,,,,,,181,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
755,Yann Sommer,,Base,,,,,,179,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
756,Djibril Sow,,Base,,,,,,180,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
757,Edmilson Fernandes,,Base,,,,,,182,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
758,Yann Sommer,,Base,,,,,,179,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
759,Edmilson Fernandes,,Base,,,,,,182,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
760,Ruben Vargas,,Base,,,,,,178,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
761,Djibril Sow,,Base,,,,,,180,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
762,Stefan Ilsanker,,Mosaic Purple,/49,,,,,6,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
763,Stefan Lainer,,Silver Mosaic,,,,,,4,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
764,Stefan Ilsanker,,Base,,,,,,6,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
765,Adrian Grbic,,Base,,,,,,5,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
766,Stefan Lainer,,Base,,,,,,4,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
767,Marcel Sabitzer,,Base,,,,,,2,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
768,Stefan Lainer,,Base,,,,,,4,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
769,Xaver Schlager,,Base,,,,,,1,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
770,Xaver Schlager,,Base,,,,,,1,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
771,Stefan Lainer,,Base,,,,,,4,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
772,Marc Janko,40,Scripts Autograph,,Y,,,,SM-MJ,2021 Panini Mosaic UEFA Euro 2020,,B4,N,,,Y,,Marc Janko #SM-MJ Scripts Autograph Autograph 2021 Panini Mosaic UEFA Euro 2020,
773,Marko Arnautovic,,Montage,,,,,,1,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
774,Cristoph Baumgartner,,Base,,,,,,3,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
775,Xaver Schlager,,Base,,,,,,1,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
776,Cristoph Baumgartner,,Base,,,,,,3,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
777,Cristoph Baumgartner,,Base,,,,,,3,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
778,Cristoph Baumgartner,,Base,,,,,,3,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
779,Cristoph Baumgartner,,Base,,,,,,3,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
780,Marcel Sabitzer,,Base,,,,,,2,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
781,Xaver Schlager,,Base,,,,,,1,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
782,Marcel Sabitzer,,Base,,,,,,2,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
783,Louis Schaub,,Base,,,,,,7,2021 Panini Mosaic UEFA Euro 2020,,,,,,,,,
784,Allan Saint-Maximin/Enzo Crivelli,,Base,,,,,,60/61,2016-17 Panini Foot Album Stickers,,,,,,,,,
785,Jack Grealish,28,Base,,,,,,21,2020-21 Panini Revolution,,A6,N,,,Y,,Jack Grealish #21 2020-21 Panini Revolution,
786,Chris Wood,,Matrix Jersey Autograph,/149,Y,,,,MM-CW,2020-21 Panini Obsidian Soccer,,,,,,,,,
787,Alexis Sanchez,34,Printing Plate,/1,,,,,,2014-15 Topps Premier Club,,A7,Y,Y,9,Y,Y,Alexis Sanchez # Printing Plate /1 2014-15 Topps Premier Club,
788,Sergino Dest,,Base,,,,,,16,2020-21 Topps Stadium Club Chrome UEFA UCL,,,,,,,,,
789,Bukayo Saka,22,Base,,,,,,12,2020-21 Panini Revolution,,A6,N,,,Y,,Bukayo Saka #12 2020-21 Panini Revolution,
790,Eduardo Camavinga,21,Base,,,,,,111,2021 Panini Mosaic UEFA Euro 2020,,B2,N,,,Y,,Eduardo Camavinga #111 2021 Panini Mosaic UEFA Euro 2020,
791,Kylian Mbappe,24,Base,,,,,,112,2021 Panini Mosaic UEFA Euro 2020,,B2,N,,,Y,,Kylian Mbappe #112 2021 Panini Mosaic UEFA Euro 2020,
792,Lionel Messi,,Base,,,,,,1,2020-21 Topps Stadium Club Chrome UEFA UCL,,,,,,,,,
793,Ansu Fati,21,Base,,,,,,83,2020-21 Topps Stadium Club Chrome UEFA UCL,,B2,N,,,Y,,Ansu Fati #83 2020-21 Topps Stadium Club Chrome UEFA UCL,
