ID,Player,Age,Variant,Numbered,Autograph,Relic,Grading Company,Grade,Number,Set,Comments,Loc,Photo?,Photo taken ?,Photo reference,Added to Collection?,Photo added to Collection?,Search term,Exclude from ebayCollectionUpdater
1312,Gabriel Martinelli,22,Base,,,,,,29,2022 Panini Prizm World Cup,,B2,N,,,Y,,Gabriel Martinelli #29 2022 Panini Prizm World Cup,
1313,Gabriel Martinelli,22,Base,,,,,,29,2022 Panini Prizm World Cup,,B2,N,,,Y,,Gabriel Martinelli #29 2022 Panini Prizm World Cup,
1314,Gabriel Martinelli,22,Base,,,,,,29,2022 Panini Prizm World Cup,,B2,N,,,Y,,Gabriel Martinelli #29 2022 Panini Prizm World Cup,
1315,Gabriel Martinelli,,Base,,,,,,29,2022 Panini Prizm World Cup,,,,,,,,,
1316,Gabriel Martinelli,,Base,,,,,,29,2022 Panini Prizm World Cup,,,,,,,,,
1317,Bukayo Saka,22,Base,,,,,,40,2020-21 Panini Prizm Premier League,,A8,N,,,Y,,Bukayo Saka #40 2020-21 Panini Prizm Premier League,
1318,Yeremy Pino,,New Era,,,,,,11,2022 Panini Prizm World Cup,,,,,,,,,
1319,Nathan Redmond,,Silver,,,,,,113,2021-22 Panini Prizm Premier League,,,,,,,,,
1320,Ricardo Pereira,,Speckle,,,,,,19,2021-22 Panini Prizm Premier League,,,,,,,,,
1321,Ayoze Perez,,Silver,,,,,,30,2021-22 Panini Prizm Premier League,,,,,,,,,
1322,Trent Alexander-Arnold,,Speckle,,,,,,79,2021-22 Panini Prizm Premier League,,,,,,,,,
1323,Anwar El Ghazi,,Speckle,,,,,,128,2021-22 Panini Prizm Premier League,,,,,,,,,
1324,Kelechi Iheanacho,,Speckle,,,,,,29,2021-22 Panini Prizm Premier League,,,,,,,,,
1325,Sergio Busquets/Koke,,Connections,,,,,,28,2022 Panini Prizm World Cup,,,,,,,,,
1326,Sergio Busquets/Koke,,Connections,,,,,,28,2022 Panini Prizm World Cup,,,,,,,,,
1327,Jadon Sancho,,Speckle,,,,,,277,2021-22 Panini Prizm Premier League,,,,,,,,,
1328,David De Gea,,Speckle,,,,,,271,2021-22 Panini Prizm Premier League,,,,,,,,,
1329,Jadon Sancho,,Green,,,,,,282,2021-22 Panini Prizm Premier League,,,,,,,,,
1330,Ashley Barnes,,Speckle,,,,,,72,2021-22 Panini Prizm Premier League,,,,,,,,,
